Sample name;Match Score;Polymer;Size (pixels);Size (micrometer2);Major dimension (micrometer);Minor dimension (micrometer);Feret dimension (micrometer);Est Volume (micrometer3);Est Mass (ng)
NanofiltrationBD2;0,818;pe;1;625;31,8;25;25;6250;5,9375
NanofiltrationBD2;0,574;pp;6;3750;104,1;45,9;56,6;68827,445;65,38607
NanofiltrationBD2;0,799;pe;4;2500;60,4;52,7;60,4;52739,305;50,10234
NanofiltrationBD2;0,859;pe;3;1875;60,4;39,6;42,7;29665,861;28,18257
NanofiltrationBD2;0,783;pe;4;2500;80,9;39,3;47,4;39345,266;37,378
NanofiltrationBD3;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_1;0,837;pa;22;13750;207;84,6;128;465156,875;530,27881
Outlet_blank_1;0,915;pe;27;16875;185,1;116,1;149,9;783614,875;744,43413
Outlet_blank_1;0,754;pa;5;3125;80,9;49,2;58,5;61476,977;70,08375
Outlet_blank_2;0,927;pe;7;4375;104,1;53,5;64,5;93681,797;88,9977
Outlet_blank_3;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_4;0,934;pe;20;12500;183,1;86,9;127,8;434579,156;412,85019
Outlet_blank_4;0,855;pe;7;4375;80,9;68,9;80,9;120494,875;114,47013
Outlet_blank_4;0,845;pe;2;1250;50;31,8;25;15915,494;15,11972
Outlet_blank_4;0,812;pe;12;7500;115,1;82,9;101,3;248811,844;236,37125
Outlet_blank_4;0,728;pa;3;1875;75;31,8;25;23873,24;27,21549
Outlet_blank_4;0,831;pe;4;2500;60,4;52,7;60,4;52739,305;50,10234
Outlet_blank_5;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_6;0,83;pp;2;1250;50;31,8;25;15915,494;15,11972
Outlet_blank_6;0,569;pp;2;1250;50;31,8;25;15915,494;15,11972
Outlet_blank_7;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_8;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_9;NA;NA;NA;NA;NA;NA;NA;NA;NA
Outlet_blank_10;0,619;pp;3;1875;75;31,8;25;23873,24;22,67958
Outlet_blank_11;0,781;pe;1;625;31,8;25;25;6250;5,9375
Outlet_blank_11;0,756;pe;1;625;31,8;25;25;6250;5,9375
Outlet_blank_12;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inlet_blank_1;0,893;pe;12;7500;115,1;82,9;115,1;248811,844;236,37125
Inlet_blank_1;0,872;pe;15;9375;136,8;87,3;103,3;327201,906;310,84181
Inlet_blank_1;0,936;pe;15;9375;131,1;91,1;113,4;341525,094;324,44884
Inlet_blank_1;0,776;pe;23;14375;183,1;100;167,3;574730,938;545,99438
Inlet_blank_1;0,875;pe;49;30625;215,4;181;215,4;2217624,75;2106,7435
Inlet_blank_1;0,787;pe;65;40625;377,2;137,1;259,2;2228226;2116,81475
Inlet_blank_1;0,864;pe;9;5625;152,5;47;69,1;105685,438;100,40116
Inlet_blank_1;0,754;pe;20;12500;205,3;77,5;135,9;387657,938;368,27503
Inlet_blank_1;0,756;pe;29;18125;212,8;108,5;164,8;786361,188;747,04313
Inlet_blank_1;0,824;pe;52;32500;261,5;158,2;231,1;2057066,125;1954,21275
Inlet_blank_1;0,789;pe;20;12500;159,6;99,7;127,1;498514,813;473,58906
Inlet_blank_1;0,609;pp;11;6875;152,5;57,4;78,9;157875,766;149,98197
Inlet_blank_1;0,893;pe;12;7500;115,1;82,9;115,1;248811,844;236,37125
Inlet_blank_1;0,872;pe;15;9375;136,8;87,3;103,3;327201,906;310,84181
Inlet_blank_1;0,936;pe;15;9375;131,1;91,1;113,4;341525,094;324,44884
Inlet_blank_1;0,776;pe;23;14375;183,1;100;167,3;574730,938;545,99438
Inlet_blank_1;0,875;pe;49;30625;215,4;181;215,4;2217624,75;2106,7435
Inlet_blank_1;0,787;pe;65;40625;377,2;137,1;259,2;2228226;2116,81475
Inlet_blank_1;0,864;pe;9;5625;152,5;47;69,1;105685,438;100,40116
Inlet_blank_2;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inlet_blank_3;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inlet_blank_4;0,836;pe;1;625;31,8;25;25;6250;5,9375
